id,age,topic_id,phase,period,condition,score,order_group
15,22,2,pretest,0,pretest,44,combined_first
15,22,2,intervention,1,combined,45,combined_first
15,22,2,intervention,2,control,44,combined_first
15,22,3,pretest,0,pretest,42,control_first
15,22,3,intervention,1,control,46,control_first
15,22,3,intervention,2,combined,46,control_first
16,24,1,pretest,0,pretest,42,combined_first
16,24,1,intervention,1,combined,41,combined_first
16,24,1,intervention,2,control,38,combined_first
16,24,2,pretest,0,pretest,46,control_first
16,24,2,intervention,1,control,43,control_first
16,24,2,intervention,2,combined,39,control_first
16,24,3,pretest,0,pretest,40,combined_first
16,24,3,intervention,1,combined,42,combined_first
16,24,3,intervention,2,control,36,combined_first
17,25,1,pretest,0,pretest,48,control_first
17,25,1,intervention,1,control,50,control_first
17,25,1,intervention,2,combined,60,control_first
17,25,2,pretest,0,pretest,61,combined_first
17,25,2,intervention,1,combined,60,combined_first
17,25,2,intervention,2,control,70,combined_first
17,25,3,pretest,0,pretest,48,control_first
17,25,3,intervention,1,control,65,control_first
17,25,3,intervention,2,combined,70,control_first
18,20,1,pretest,0,pretest,51,combined_first
18,20,1,intervention,1,combined,53,combined_first
18,20,1,intervention,2,control,54,combined_first
18,20,2,pretest,0,pretest,48,control_first
18,20,2,intervention,1,control,49,control_first
18,20,2,intervention,2,combined,49,control_first
18,20,3,pretest,0,pretest,52,combined_first
18,20,3,intervention,1,combined,52,combined_first
18,20,3,intervention,2,control,52,combined_first
19,25,1,pretest,0,pretest,38,control_first
19,25,1,intervention,1,control,39,control_first
19,25,1,intervention,2,combined,44,control_first
19,25,2,pretest,0,pretest,62,combined_first
19,25,2,intervention,1,combined,64,combined_first
19,25,2,intervention,2,control,63,combined_first
19,25,3,pretest,0,pretest,44,control_first
19,25,3,intervention,1,control,52,control_first
19,25,3,intervention,2,combined,61,control_first
20,24,1,pretest,0,pretest,61,combined_first
20,24,1,intervention,1,combined,56,combined_first
20,24,1,intervention,2,control,65,combined_first
20,24,2,pretest,0,pretest,58,control_first
20,24,2,intervention,1,control,66,control_first
20,24,2,intervention,2,combined,64,control_first
20,24,3,pretest,0,pretest,54,combined_first
