id,age,topic_id,phase,period,condition,score,order_group
72,24,1,intervention,1,control,44,control_first
72,24,1,intervention,2,combined,50,control_first
72,24,2,pretest,0,pretest,52,combined_first
72,24,2,intervention,1,combined,51,combined_first
72,24,2,intervention,2,control,59,combined_first
72,24,3,pretest,0,pretest,53,control_first
72,24,3,intervention,1,control,51,control_first
72,24,3,intervention,2,combined,55,control_first
73,25,1,pretest,0,pretest,27,combined_first
73,25,1,intervention,1,combined,10,combined_first
73,25,1,intervention,2,control,23,combined_first
73,25,2,pretest,0,pretest,56,control_first
73,25,2,intervention,1,control,65,control_first
73,25,2,intervention,2,combined,70,control_first
73,25,3,pretest,0,pretest,60,combined_first
73,25,3,intervention,1,combined,70,combined_first
73,25,3,intervention,2,control,65,combined_first
74,25,1,pretest,0,pretest,28,control_first
74,25,1,intervention,1,control,33,control_first
74,25,1,intervention,2,combined,40,control_first
74,25,2,pretest,0,pretest,35,combined_first
74,25,2,intervention,1,combined,40,combined_first
74,25,2,intervention,2,control,39,combined_first
74,25,3,pretest,0,pretest,31,control_first
74,25,3,intervention,1,control,36,control_first
74,25,3,intervention,2,combined,45,control_first
75,29,1,pretest,0,pretest,44,combined_first
75,29,1,intervention,1,combined,46,combined_first
75,29,1,intervention,2,control,45,combined_first
75,29,2,pretest,0,pretest,63,control_first
75,29,2,intervention,1,control,65,control_first
75,29,2,intervention,2,combined,64,control_first
75,29,3,pretest,0,pretest,62,combined_first
75,29,3,intervention,1,combined,64,combined_first
75,29,3,intervention,2,control,63,combined_first
76,26,1,pretest,0,pretest,70,control_first
76,26,1,intervention,1,control,70,control_first
76,26,1,intervention,2,combined,70,control_first
76,26,2,pretest,0,pretest,70,combined_first
76,26,2,intervention,1,combined,70,combined_first
76,26,2,intervention,2,control,70,combined_first
76,26,3,pretest,0,pretest,70,control_first
76,26,3,intervention,1,control,70,control_first
76,26,3,intervention,2,combined,70,control_first
77,24,1,pretest,0,pretest,59,combined_first
77,24,1,intervention,1,combined,54,combined_first
77,24,1,intervention,2,control,56,combined_first
77,24,2,pretest,0,pretest,61,control_first
77,24,2,intervention,1,control,65,control_first
77,24,2,intervention,2,combined,63,control_first
77,24,3,pretest,0,pretest,61,combined_first
77,24,3,intervention,1,combined,58,combined_first
77,24,3,intervention,2,control,52,combined_first
78,24,1,pretest,0,pretest,51,control_first
78,24,1,intervention,1,control,60,control_first
78,24,1,intervention,2,combined,59,control_first
78,24,2,pretest,0,pretest,55,combined_first
78,24,2,intervention,1,combined,70,combined_first
78,24,2,intervention,2,control,60,combined_first
78,24,3,pretest,0,pretest,41,control_first
78,24,3,intervention,1,control,60,control_first
78,24,3,intervention,2,combined,65,control_first
79,25,1,pretest,0,pretest,39,combined_first
79,25,1,intervention,1,combined,63,combined_first
79,25,1,intervention,2,control,50,combined_first
79,25,2,pretest,0,pretest,45,control_first
79,25,2,intervention,1,control,49,control_first
79,25,2,intervention,2,combined,70,control_first
79,25,3,pretest,0,pretest,40,combined_first
79,25,3,intervention,1,combined,63,combined_first
79,25,3,intervention,2,control,51,combined_first
80,25,1,pretest,0,pretest,40,control_first
80,25,1,intervention,1,control,50,control_first
80,25,1,intervention,2,combined,70,control_first
80,25,2,pretest,0,pretest,50,combined_first
80,25,2,intervention,1,combined,70,combined_first
80,25,2,intervention,2,control,60,combined_first
80,25,3,pretest,0,pretest,47,control_first
80,25,3,intervention,1,control,54,control_first
80,25,3,intervention,2,combined,66,control_first
81,25,1,pretest,0,pretest,49,combined_first
81,25,1,intervention,1,combined,51,combined_first
81,25,1,intervention,2,control,52,combined_first
81,25,2,pretest,0,pretest,55,control_first
81,25,2,intervention,1,control,58,control_first
81,25,2,intervention,2,combined,60,control_first
81,25,3,pretest,0,pretest,59,combined_first
81,25,3,intervention,1,combined,61,combined_first
81,25,3,intervention,2,control,59,combined_first
82,24,1,pretest,0,pretest,52,control_first
82,24,1,intervention,1,control,61,control_first
82,24,1,intervention,2,combined,70,control_first
82,24,2,pretest,0,pretest,60,combined_first
82,24,2,intervention,1,combined,70,combined_first
82,24,2,intervention,2,control,67,combined_first
82,24,3,pretest,0,pretest,43,control_first
82,24,3,intervention,1,control,65,control_first
82,24,3,intervention,2,combined,63,control_first
83,25,1,pretest,0,pretest,54,combined_first
83,25,1,intervention,1,combined,63,combined_first
83,25,1,intervention,2,control,55,combined_first
83,25,2,pretest,0,pretest,60,control_first
83,25,2,intervention,1,control,60,control_first
83,25,2,intervention,2,combined,62,control_first
83,25,3,pretest,0,pretest,52,combined_first
83,25,3,intervention,1,combined,60,combined_first
83,25,3,intervention,2,control,58,combined_first
84,22,1,pretest,0,pretest,40,control_first
84,22,1,intervention,1,control,40,control_first
84,22,1,intervention,2,combined,42,control_first
85,23,1,pretest,0,pretest,51,control_first
85,23,1,intervention,1,control,57,control_first
85,23,1,intervention,2,combined,54,control_first
86,24,1,pretest,0,pretest,57,control_first
86,24,1,intervention,1,control,62,control_first
86,24,1,intervention,2,combined,60,control_first
87,23,1,pretest,0,pretest,53,combined_first
87,23,1,intervention,1,combined,64,combined_first
87,23,1,intervention,2,control,57,combined_first
88,26,1,pretest,0,pretest,44,control_first
88,26,1,intervention,1,control,66,control_first
88,26,1,intervention,2,combined,68,control_first
