id,condition,pbs,presentation_order,pre_pbs,initial_nfc,autonomy_satisfaction,autonomy_frustration,competence_satisfaction,competence_frustration,relatedness_satisfaction,relatedness_frustration,normative_influence,informational_influence
22,concept,40,4,34,51,12,10,9,8,8,10,20,22
22,emotion,42,3,34,51,12,10,9,8,8,10,20,22
22,behavior,50,1,34,51,12,10,9,8,8,10,20,22
22,environment,45,2,34,51,12,10,9,8,8,10,20,22
23,control,32,2,31,44,12,8,7,12,6,10,19,26
23,concept,38,5,31,44,12,8,7,12,6,10,19,26
23,emotion,33,4,31,44,12,8,7,12,6,10,19,26
23,behavior,33,3,31,44,12,8,7,12,6,10,19,26
23,environment,33,1,31,44,12,8,7,12,6,10,19,26
24,control,59,1,51,46,12,11,10,9,10,8,25,29
24,concept,61,3,51,46,12,11,10,9,10,8,25,29
24,emotion,58,2,51,46,12,11,10,9,10,8,25,29
24,behavior,61,5,51,46,12,11,10,9,10,8,25,29
24,environment,58,4,51,46,12,11,10,9,10,8,25,29
25,control,59,4,52,57,12,6,12,6,13,6,27,27
25,concept,67,1,52,57,12,6,12,6,13,6,27,27
25,emotion,67,3,52,57,12,6,12,6,13,6,27,27
25,behavior,70,2,52,57,12,6,12,6,13,6,27,27
25,environment,67,5,52,57,12,6,12,6,13,6,27,27
26,control,69,5,63,43,12,2,9,7,6,10,24,28
26,concept,70,4,63,43,12,2,9,7,6,10,24,28
26,emotion,67,1,63,43,12,2,9,7,6,10,24,28
26,behavior,69,3,63,43,12,2,9,7,6,10,24,28
26,environment,69,2,63,43,12,2,9,7,6,10,24,28
27,control,62,3,55,56,9,11,8,8,10,9,18,22
27,concept,64,2,55,56,9,11,8,8,10,9,18,22
27,emotion,61,5,55,56,9,11,8,8,10,9,18,22
27,behavior,64,4,55,56,9,11,8,8,10,9,18,22
27,environment,57,1,55,56,9,11,8,8,10,9,18,22
28,control,41,3,38,54,10,8,12,5,13,8,27,27
28,concept,46,2,38,54,10,8,12,5,13,8,27,27
28,emotion,40,1,38,54,10,8,12,5,13,8,27,27
28,behavior,44,4,38,54,10,8,12,5,13,8,27,27
28,environment,44,5,38,54,10,8,12,5,13,8,27,27
29,control,62,2,33,26,11,14,8,11,12,11,28,32
29,concept,65,1,33,26,11,14,8,11,12,11,28,32
